STATE/UT,Year,CRIME,Boys 7-12 Years,Girls 7-12 Years,Boys 12-16 Years,Girls 12-16 Years,Boys 16-18 Years,Girls 16-18 Years,Total for boys all Age Groups,Total for girls all Age Groups,Grand total
Andaman & Nicobar Islands,2001,Murder,0,0,2,0,0,0,2,0,2
Andaman & Nicobar Islands,2001,Attempt to Commit Murder,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2001,C H Not amounting to Murder,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2001,Rape,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2001,Custodial Rape,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2001,Other Rape,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2001,Kidnapping & Abduction,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2001,K & A of Women and Girls,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2001,K & A of others,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2001,Dacoity,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2001,Preparation & Assembly for Dacoity,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2001,Robbery,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2001,Burglary,0,0,2,0,2,0,4,0,4
Andaman & Nicobar Islands,2001,Theft,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2001,Auto Theft,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2001,Other Theft,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2001,Riots,0,0,1,0,1,0,2,0,2
Andaman & Nicobar Islands,2001,Criminal Breach of Trust,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2001,Cheating,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2001,Counterfeiting,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2001,Arson,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2001,Hurt/Grevious Hurt,0,0,0,0,2,0,2,0,2
Andaman & Nicobar Islands,2001,Dowry Deaths,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2001,Assault on Women wih intent to outrage h,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2001,Insult to Modesty of Women,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2001,Cruelty by Husband or Relatives,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2001,Importation of girls from Foreign Countr,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2001,Causing death by negligence,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2001,Other IPC Crimes,0,0,3,3,0,0,3,3,6
Andaman & Nicobar Islands,2001,Total IPC Crimes,0,0,8,3,5,0,13,3,16
Andaman & Nicobar Islands,2002,Murder,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2002,Attempt to Commit Murder,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2002,C H Not amounting to Murder,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2002,Rape,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2002,Custodial Rape,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2002,Other Rape,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2002,Kidnapping & Abduction,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2002,K & A of Women and Girls,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2002,K & A of others,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2002,Dacoity,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2002,Preparation & Assembly for Dacoity,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2002,Robbery,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2002,Burglary,0,0,2,0,0,0,2,0,2
Andaman & Nicobar Islands,2002,Theft,0,0,0,0,1,0,1,0,1
Andaman & Nicobar Islands,2002,Auto Theft,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2002,Other Theft,0,0,0,0,1,0,1,0,1
Andaman & Nicobar Islands,2002,Riots,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2002,Criminal Breach of Trust,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2002,Cheating,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2002,Counterfeiting,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2002,Arson,0,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2002,Hurt/Grevious Hurt,0,0,0,0,0,0,0,0,0
